Cluster 0;Cluster 1;Cluster 2;Cluster 3;Cluster 4
ARG;ABW;ALB;ALA;ATG
BOL;AFG;AUT;AND;BHS
CCK;AGO;BEL;ARM;BLZ
CHL;AIA;BGR;ASM;BRB
COL;ARE;BIH;AUS;DMA
CRI;AZE;CAN;BRA;GRD
CUB;BDI;CYP;CHE;GUY
DOM;BEN;CZE;COK;JAM
ECU;BFA;DEU;CXR;KNA
ESH;BGD;DNK;FRO;LCA
GNQ;BHR;EST;FSM;SGP
GTM;BLM;FIN;GGY;SUR
HND;BLR;FRA;GIB;TTO
HTI;BMU;GBR;GRL;VCT
MAR;BRN;GEO;GUM;
MEX;BTN;GRC;HKG;
NIC;BWA;HRV;IMN;
PAN;CAF;HUN;JEY;
PER;CHN;IRL;LBR;
PHL;CIV;ISL;MAC;
PRI;CMR;ITA;MCO;
PRY;COD;JPN;MHL;
SLV;COG;KOR;MNP;
URY;COM;LIE;NCL;
USA;CPV;LTU;NFK;
VEN;CUW;LUX;NIU;
;CYM;LVA;NRU;
;DJI;MDA;NZL;
;DZA;MKD;PCN;
;EGY;MLT;PLW;
;ERI;MNE;PYF;
;ETH;NLD;SMR;
;FJI;NOR;SPM;
;FLK;POL;TKL;
;GAB;PRT;TON;
;GHA;ROU;TUR;
;GIN;SRB;TWN;
;GLP;SVK;VAT;
;GMB;SVN;WLF;
;GNB;SWE;;
;GUF;UKR;;
;IDN;;;
;IND;;;
;IOT;;;
;IRN;;;
;IRQ;;;
;ISR;;;
;JOR;;;
;KAZ;;;
;KEN;;;
;KGZ;;;
;KHM;;;
;KIR;;;
;KWT;;;
;LAO;;;
;LBN;;;
;LBY;;;
;LKA;;;
;LSO;;;
;MAF;;;
;MDG;;;
;MDV;;;
;MLI;;;
;MMR;;;
;MNG;;;
;MOZ;;;
;MRT;;;
;MSR;;;
;MTQ;;;
;MUS;;;
;MWI;;;
;MYS;;;
;MYT;;;
;NAM;;;
;NER;;;
;NGA;;;
;NPL;;;
;OMN;;;
;PAK;;;
;PNG;;;
;PRK;;;
;PSE;;;
;QAT;;;
;REU;;;
;RUS;;;
;RWA;;;
;SAU;;;
;SDN;;;
;SEN;;;
;SHN;;;
;SLB;;;
;SLE;;;
;SOM;;;
;SSD;;;
;STP;;;
;SWZ;;;
;SXM;;;
;SYC;;;
;SYR;;;
;TCA;;;
;TCD;;;
;TGO;;;
;THA;;;
;TJK;;;
;TKM;;;
;TLS;;;
;TUN;;;
;TUV;;;
;TZA;;;
;UGA;;;
;UZB;;;
;VGB;;;
;VIR;;;
;VNM;;;
;VUT;;;
;WSM;;;
;YEM;;;
;ZAF;;;
;ZMB;;;
;ZWE;;;
