industry,tariff_group,EU,ASIA,LATAM,OTHER,total_countries,avg_dependency
Accumulators primary cells and batteries,0-10%,0,1,3,3,7,0.009885329587001156
Accumulators primary cells and batteries,11-20%,27,1,2,12,42,0.003011844317602362
Accumulators primary cells and batteries,21-30%,0,4,0,9,13,0.04103140801978797
Accumulators primary cells and batteries,31-40%,0,5,0,13,18,0.026625928885334313
Accumulators primary cells and batteries,>40%,0,5,0,4,9,0.006440943793258489
Aircraft and spacecraft,0-10%,0,1,3,3,7,0.017570719693874384
Aircraft and spacecraft,11-20%,27,1,2,12,42,0.007908505281740466
Aircraft and spacecraft,21-30%,0,4,0,9,13,0.005053360939562963
Aircraft and spacecraft,31-40%,0,5,0,13,18,0.000880331274784089
Aircraft and spacecraft,>40%,0,5,0,4,9,0.0
Basic iron and steel,0-10%,0,1,3,3,7,0.005045110307497958
Basic iron and steel,11-20%,27,1,2,12,42,0.0009592755803298563
Basic iron and steel,21-30%,0,4,0,9,13,0.006932087302933045
Basic iron and steel,31-40%,0,5,0,13,18,0.0032652200525710518
Basic iron and steel,>40%,0,5,0,4,9,0.00019549672262605554
Basic precious and non-ferrous metals,0-10%,0,1,3,3,7,0.021409112449294547
Basic precious and non-ferrous metals,11-20%,27,1,2,12,42,0.0034908822508506075
Basic precious and non-ferrous metals,21-30%,0,4,0,9,13,0.004967736125887231
Basic precious and non-ferrous metals,31-40%,0,5,0,13,18,0.011310122809145524
Basic precious and non-ferrous metals,>40%,0,5,0,4,9,0.00016780129482657779
Electronic valves tubes etc.,0-10%,0,1,3,3,7,0.008203127588067015
Electronic valves tubes etc.,11-20%,27,1,2,12,42,0.0018571498993506703
Electronic valves tubes etc.,21-30%,0,4,0,9,13,0.03590994322380639
Electronic valves tubes etc.,31-40%,0,5,0,13,18,0.023975032643299803
Electronic valves tubes etc.,>40%,0,5,0,4,9,0.006267289571996456
Medical surgical and orthopaedic equipment,0-10%,0,1,3,3,7,0.006509142390686014
Medical surgical and orthopaedic equipment,11-20%,27,1,2,12,42,0.005439295950871168
Medical surgical and orthopaedic equipment,21-30%,0,4,0,9,13,0.0037503543430395673
Medical surgical and orthopaedic equipment,31-40%,0,5,0,13,18,0.005717762527701228
Medical surgical and orthopaedic equipment,>40%,0,5,0,4,9,0.0001362149202390222
Office accounting and computing machinery,0-10%,0,1,3,3,7,0.0049917102342806425
Office accounting and computing machinery,11-20%,27,1,2,12,42,0.004013535337917066
Office accounting and computing machinery,21-30%,0,4,0,9,13,0.026753870855156705
Office accounting and computing machinery,31-40%,0,5,0,13,18,0.07805134061200314
Office accounting and computing machinery,>40%,0,5,0,4,9,0.004531447728265078
Optical instruments & photographic equipment,0-10%,0,1,3,3,7,0.016100301130951844
Optical instruments & photographic equipment,11-20%,27,1,2,12,42,0.011284201236310269
Optical instruments & photographic equipment,21-30%,0,4,0,9,13,0.0379272888829137
Optical instruments & photographic equipment,31-40%,0,5,0,13,18,0.05140095508964566
Optical instruments & photographic equipment,>40%,0,5,0,4,9,0.004949042693517166
TV and radio receivers and associated goods,0-10%,0,1,3,3,7,0.0013148470892002284
TV and radio receivers and associated goods,11-20%,27,1,2,12,42,0.00359396871610252
TV and radio receivers and associated goods,21-30%,0,4,0,9,13,0.025885672619583203
TV and radio receivers and associated goods,31-40%,0,5,0,13,18,0.05472679956772291
TV and radio receivers and associated goods,>40%,0,5,0,4,9,0.043737977507783965
