Importing Country,Exporting Country,Sector,Direct Dependency,Total Dependency,Concealment Ratio
HRV,USA,"Pulses and legumes, dried, preserved",0.0050964187830686,0.5491046893434262,107.74324338644817
HRV,CHN,Dressing & dyeing of fur; processing of fur,0.005380030721426,0.4076884459260122,75.77808883179624
GRC,DNK,Live Swine,0.0055350554175674,0.3864335494245461,69.81566041743078
NLD,HUN,Corn,0.0051432871259748,0.2915495737136364,56.6854555409211
SVN,DNK,Live Swine,0.0050583104602992,0.2815727505691778,55.66537538158991
IRL,ESP,Fishing,0.0064774840138852,0.3529138191975945,54.483163283936314
EST,DEU,Publishing of newspapers journals etc.,0.0055374600924551,0.2950517018428943,53.28285837127894
GRC,BEL,Live Swine,0.0055350554175674,0.2792169624776151,50.44519727687354
BEL,CZE,Live Cattle,0.0054039093665778,0.2502389454403441,46.30702117027103
SVN,DEU,Animal feed ingredients and pet foods,0.0076335873454809,0.3457782942827454,45.29695916657676
