Importing Country,Exporting Country,Sector,Direct Dependency,Indirect Dependency,Total Dependency
EST,USA,Aircraft and spacecraft,0.832875669002533,0.0631227824760491,0.895998451478582
CAN,CHN,Office accounting and computing machinery,0.5238457918167114,0.3392608143391258,0.8631066061558372
LVA,CAN,Aircraft and spacecraft,0.8528690934181213,0.007040090070126,0.8599091834882474
SWE,USA,Aircraft and spacecraft,0.6741006374359131,0.1768964316721098,0.8509970691080229
POL,USA,Aircraft and spacecraft,0.6854255199432373,0.1610407807054187,0.846466300648656
CZE,CHN,Office accounting and computing machinery,0.6178523302078247,0.2208176033173879,0.8386699335252127
SVK,USA,Aircraft and spacecraft,0.5964979529380798,0.2372729573346474,0.8337709102727273
USA,CHN,Office accounting and computing machinery,0.4706129133701324,0.3527779850788033,0.8233908984489358
SVN,CHN,Office accounting and computing machinery,0.5095514059066772,0.2985798462816522,0.8081312521883295
POL,CHN,Office accounting and computing machinery,0.5190923810005188,0.2844624764470749,0.8035548574475937
CAN,CHN,TV and radio receivers and associated goods,0.4607511758804321,0.3385968775665046,0.7993480534469368
DEU,CHN,Office accounting and computing machinery,0.4898318946361542,0.3094541388690822,0.7992860335052363
GRC,CHN,Office accounting and computing machinery,0.5713273286819458,0.2259535638374745,0.7972808925194204
POL,CHN,TV and radio receivers and associated goods,0.5540222525596619,0.2404105829005932,0.7944328354602551
FRA,CHN,Office accounting and computing machinery,0.4579298496246338,0.3343928910726685,0.7923227406973024
PRT,FRA,Aircraft and spacecraft,0.7217743396759033,0.070224737495057,0.7919990771709604
CYP,USA,Aircraft and spacecraft,0.5007734298706055,0.2841198070702597,0.7848932369408652
USA,CHN,TV and radio receivers and associated goods,0.4702434837818146,0.3113389194103749,0.7815824031921895
LUX,USA,Aircraft and spacecraft,0.5766609907150269,0.2023048568124706,0.7789658475274974
NLD,USA,Aircraft and spacecraft,0.5538994669914246,0.2211863798245026,0.7750858468159272
